"","Year","Area","Area.Abbreviation","latitude","longitude","AlcoholicBeverages","Beans","Cereals","Coffee","Fruits","InfantFood","Meat","Nuts","Seafood","Spices","Sweeteners","Tea","Vegetables"
"1",1961,"Afghanistan","AFG",33.94,67.71,NA,NA,286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",1961,"Albania","ALB",41.15,20.17,NA,0,33,NA,NA,NA,NA,NA,0,NA,NA,NA,5
"3",1961,"Algeria","DZA",28.03,1.66,NA,NA,29,NA,NA,NA,NA,NA,0,NA,NA,NA,9
"4",1961,"Angola","AGO",-11.2,17.87,NA,NA,14,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"5",1961,"Antigua and Barbuda","ATG",17.06,-61.8,NA,NA,1,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"6",1961,"Argentina","ARG",-38.42,-63.62,NA,NA,4561,NA,NA,NA,NA,NA,8,NA,NA,NA,0
"7",1961,"Armenia","ARM",40.07,45.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",1961,"Australia","AUS",-25.27,133.78,NA,NA,875,NA,NA,NA,NA,NA,43,NA,3,NA,NA
"9",1961,"Austria","AUT",47.52,14.55,NA,NA,1404,NA,NA,NA,0,NA,119,NA,3,NA,0
"10",1961,"Azerbaijan","AZE",40.14,47.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",1961,"Bahamas","AZE",25.03,-77.4,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"12",1961,"Bangladesh","BGD",23.68,90.36,NA,NA,196,NA,NA,NA,NA,NA,0,NA,NA,NA,0
"13",1961,"Barbados","BRB",13.19,-59.54,NA,NA,4,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"14",1961,"Belarus","BLR",53.71,27.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",1961,"Belgium","BEL",50.5,4.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",1961,"Belize","BLZ",17.19,-88.5,NA,NA,1,NA,0,NA,NA,NA,0,NA,NA,NA,NA
"17",1961,"Benin","BEN",9.31,2.32,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"18",1961,"Bermuda","BMU",32.32,-64.76,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,0
"19",1961,"Bolivia (Plurinational State of)","BOL",-16.29,-63.59,NA,NA,164,NA,10,NA,NA,NA,0,NA,NA,NA,NA
"20",1961,"Bosnia and Herzegovina","BIH",43.92,17.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",1961,"Botswana","BWA",-22.33,24.68,NA,NA,2,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"22",1961,"Brazil","BRA",-14.24,-51.93,NA,NA,5975,NA,NA,NA,NA,NA,18,NA,NA,NA,0
"23",1961,"Brunei Darussalam","BRN",4.54,114.73,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"24",1961,"Bulgaria","BGR",42.73,25.49,NA,0,1762,NA,NA,NA,NA,NA,5,NA,0,NA,148
"25",1961,"Burkina Faso","BFA",12.24,-1.56,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"26",1961,"Cabo Verde","CPV",16,-24.01,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",1961,"Cambodia","KHM",12.57,104.99,NA,NA,34,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"28",1961,"Cameroon","CMR",7.37,12.35,NA,NA,14,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"29",1961,"Canada","CAN",56.13,-106.35,NA,NA,9190,NA,NA,NA,8,NA,64,NA,NA,NA,NA
"30",1961,"Central African Republic","CAF",6.61,20.94,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,0
"31",1961,"Chad","TCD",15.45,18.73,NA,NA,15,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"32",1961,"Chile","CHL",-35.68,-71.54,NA,NA,277,NA,NA,NA,2,NA,101,NA,NA,NA,NA
"33",1961,"China, Hong Kong SAR","CHN",22.4,114.11,NA,NA,31,NA,NA,NA,NA,NA,17,NA,NA,NA,0
"34",1961,"China, Macao SAR","CHN",22.2,113.54,NA,NA,1,NA,0,NA,NA,NA,0,NA,NA,NA,NA
"35",1961,"China, mainland","CHN",35.86,104.2,NA,0,17963,NA,NA,NA,0,NA,0,NA,NA,NA,837
"36",1961,"China, Taiwan Province of","CHN",23.7,120.96,NA,NA,102,NA,NA,NA,NA,NA,10,NA,NA,NA,NA
"37",1961,"Colombia","COL",4.57,-74.3,NA,NA,104,NA,185,NA,NA,NA,3,NA,42,NA,12
"38",1961,"Congo","COD",-0.23,15.83,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"39",1961,"Costa Rica","CRI",9.75,-83.75,NA,NA,16,NA,43,NA,NA,NA,0,NA,NA,NA,0
"40",1961,"Côte d'Ivoire","CIV",7.54,-5.55,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",1961,"Croatia","HRV",45.1,15.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",1961,"Cuba","CUB",21.52,-77.78,NA,NA,235,NA,5,NA,NA,NA,9,NA,0,NA,1
"43",1961,"Cyprus","CYP",35.13,33.43,NA,NA,68,NA,NA,NA,NA,NA,0,NA,NA,NA,1
"44",1961,"Czechia","CZE",49.82,15.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",1961,"Democratic People's Republic of Korea","KOR",40.34,127.51,NA,NA,844,NA,NA,NA,NA,NA,0,NA,NA,NA,9
"46",1961,"Denmark","DNK",56.26,9.5,NA,NA,4620,NA,NA,NA,NA,NA,203,NA,0,NA,0
"47",1961,"Djibouti","DJI",11.83,42.59,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"48",1961,"Dominica","DMA",15.41,-61.37,NA,NA,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA
"49",1961,"Dominican Republic","DOM",18.74,-70.16,NA,NA,1,NA,19,NA,NA,NA,0,NA,NA,NA,NA
"50",1961,"Ecuador","ECU",-1.83,-78.18,NA,NA,35,NA,49,NA,NA,NA,0,NA,NA,NA,19
"51",1961,"Egypt","EGY",26.82,30.8,NA,NA,989,NA,NA,NA,NA,NA,0,NA,NA,NA,0
"52",1961,"El Salvador","SLV",13.79,-88.9,NA,NA,34,NA,1,NA,NA,NA,0,NA,NA,NA,0
"53",1961,"Estonia","EST",58.6,25.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",1961,"Ethiopia","ETH",9.15,40.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",1961,"Fiji","FJI",-16.58,179.41,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"56",1961,"Finland","FIN",61.92,25.75,NA,NA,1280,NA,NA,NA,NA,NA,66,NA,1,NA,0
"57",1961,"France","FRA",46.23,2.21,NA,NA,9810,NA,NA,NA,NA,NA,285,NA,8,NA,164
"58",1961,"French Polynesia","PYF",-17.68,-149.41,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,0
"59",1961,"Gabon","GAB",-0.8,11.61,NA,NA,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA
"60",1961,"Gambia","GMB",13.44,-15.31,NA,NA,2,NA,NA,NA,NA,NA,0,NA,NA,NA,0
"61",1961,"Georgia","GEO",42.32,43.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62",1961,"Germany","DEU",51.17,10.45,NA,19,16017,NA,NA,NA,NA,NA,1356,NA,1,NA,8
"63",1961,"Ghana","GHA",7.95,-1.02,NA,NA,102,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"64",1961,"Greece","GRC",39.07,21.82,NA,2,616,NA,16,NA,1,NA,43,NA,NA,NA,55
"65",1961,"Grenada","GRD",12.26,-61.6,NA,NA,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA
"66",1961,"Guatemala","GTM",15.78,-90.23,NA,NA,34,NA,55,NA,NA,NA,1,NA,0,NA,NA
"67",1961,"Guinea","GIN",9.95,-9.7,NA,NA,8,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"68",1961,"Guinea-Bissau","GNB",11.8,-15.18,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"69",1961,"Guyana","GUY",4.86,-58.93,NA,NA,9,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
"70",1961,"Haiti","HTI",18.97,-72.29,NA,NA,67,NA,48,NA,1,NA,0,NA,NA,NA,NA
"71",1961,"Honduras","HND",15.2,-86.24,NA,NA,48,NA,59,NA,0,NA,1,NA,NA,NA,NA
"72",1961,"Hungary","HUN",47.16,19.5,NA,0,4288,NA,24,NA,NA,NA,61,NA,1,NA,38
"73",1961,"Iceland","ISL",64.96,-19.02,NA,NA,17,NA,NA,NA,NA,NA,3,NA,NA,0,NA
"74",1961,"India","IND",20.59,78.96,NA,84,785,NA,NA,NA,NA,NA,81,NA,265,NA,NA
"75",1961,"Indonesia","IDN",-0.79,113.92,NA,NA,222,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"76",1961,"Iran (Islamic Republic of)","IRN",32.43,53.69,NA,NA,708,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"77",1961,"Iraq","IRQ",33.22,43.68,NA,NA,477,NA,0,NA,NA,NA,0,NA,NA,NA,NA
"78",1961,"Ireland","IRL",53.41,-8.24,NA,0,874,NA,NA,NA,NA,NA,27,NA,0,NA,15
"79",1961,"Israel","ISR",31.05,34.85,NA,NA,443,NA,0,NA,NA,NA,60,NA,1,NA,1
"80",1961,"Italy","ITA",41.87,12.57,NA,NA,6325,NA,NA,NA,1,NA,155,NA,0,NA,434
"81",1961,"Jamaica","JAM",18.11,-77.3,NA,NA,7,NA,2,NA,NA,NA,0,NA,NA,NA,NA
"82",1961,"Japan","JPN",36.2,138.25,NA,8,3961,NA,NA,NA,NA,NA,1008,NA,NA,NA,0
"83",1961,"Jordan","JOR",30.59,36.24,NA,NA,69,NA,NA,NA,NA,NA,0,NA,NA,NA,0
"84",1961,"Kazakhstan","KAZ",48.02,66.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85",1961,"Kenya","KEN",-0.02,37.91,NA,NA,64,NA,NA,NA,NA,NA,2,NA,NA,NA,NA
"86",1961,"Kiribati","KIR",-3.37,-168.73,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"87",1961,"Kuwait","KWT",29.31,47.48,NA,NA,15,NA,0,NA,NA,NA,0,NA,NA,NA,NA
"88",1961,"Kyrgyzstan","KGZ",41.2,74.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89",1961,"Lao People's Democratic Republic","LAO",19.86,102.5,NA,NA,30,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"90",1961,"Latvia","LVA",56.88,24.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91",1961,"Lebanon","LBN",33.85,35.86,NA,NA,78,NA,0,NA,NA,NA,0,NA,NA,NA,0
"92",1961,"Lesotho","LSO",-29.61,28.23,NA,NA,17,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"93",1961,"Liberia","LBR",6.43,-9.43,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"94",1961,"Lithuania","LTU",55.17,23.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95",1961,"Luxembourg","LUX",49.82,6.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96",1961,"Madagascar","MDG",-18.77,46.87,NA,NA,139,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"97",1961,"Malawi","MWI",-13.25,34.3,NA,0,62,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
