"","Year","Area","Area.Abbreviation","latitude","longitude","AlcoholicBeverages","Beans","Cereals","Coffee","Fruits","InfantFood","Meat","Nuts","Seafood","Spices","Sweeteners","Tea","Vegetables"
"1",1961,"Afghanistan","AFG",33.94,67.71,0,NA,2767,0,368,0,129,2,0,3,47,4,329
"2",1961,"Albania","ALB",41.15,20.17,13,5,324,0,95,0,25,5,3,0,19,0,120
"3",1961,"Algeria","DZA",28.03,1.66,96,4,1487,22,366,0,132,6,38,5,190,2,368
"4",1961,"Angola","AGO",-11.2,17.87,128,39,347,0,245,0,33,1,36,0,46,0,153
"5",1961,"Antigua and Barbuda","ATG",17.06,-61.8,0,0,6,0,6,0,1,0,2,0,23,0,0
"6",1961,"Argentina","ARG",-38.42,-63.62,1919,29,2806,35,1615,NA,2138,7,87,3,820,171,1715
"7",1961,"Armenia","ARM",40.07,45.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",1961,"Australia","AUS",-25.27,133.78,1141,4,1088,22,815,0,1102,2,135,2,590,27,646
"9",1961,"Austria","AUT",47.52,14.55,778,2,951,13,950,0,466,19,50,2,290,1,473
"10",1961,"Azerbaijan","AZE",40.14,47.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",1961,"Bahamas","AZE",25.03,-77.4,5,0,13,0,8,0,7,0,1,0,4,0,17
"12",1961,"Bangladesh","BGD",23.68,90.36,0,44,9255,0,1070,0,169,60,435,183,497,10,824
"13",1961,"Barbados","BRB",13.19,-59.54,4,0,24,0,9,0,9,0,6,0,12,0,3
"14",1961,"Belarus","BLR",53.71,27.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",1961,"Belgium","BEL",50.5,4.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",1961,"Belize","BLZ",17.19,-88.5,1,1,11,0,9,0,2,0,1,0,3,0,2
"17",1961,"Benin","BEN",9.31,2.32,22,24,202,0,107,0,20,0,21,0,6,0,41
"18",1961,"Bermuda","BMU",32.32,-64.76,2,0,3,0,6,0,4,0,2,0,2,0,4
"19",1961,"Bolivia (Plurinational State of)","BOL",-16.29,-63.59,24,1,335,3,226,0,89,0,1,0,67,0,199
